State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Max _Team,Min_Temp,Avg_temp,Rainfall,Humidity,Soil
Odisha,ANUGUL,2009,Winter     ,Horse-gram,4443,1404,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Maize,36,50.7,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Moong(Green Gram),1036,231,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Potato,721,7831.5,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Rapeseed &Mustard,428,48.4,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Rice,83000,89000,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Sesamum,2690,497.7,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Sugarcane,57,3008.7,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2009,Winter     ,Urad,1473,372.7,34.5,20.75,27.625,1267.2,74.16666667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Groundnut,2285,2095.3,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Maize,965,861.5,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Moong(Green Gram),2008,315.3,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Ragi,4,2.2,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Rice,16000,4000,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Sesamum,1048,223.2,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Autumn     ,Urad,2914,510,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Summer     ,Groundnut,489,591.7,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Summer     ,Maize,9,12.3,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Summer     ,Moong(Green Gram),452,112.5,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Summer     ,Sesamum,255,67.1,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Summer     ,Urad,89,24.1,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Summer     ,Wheat,27,52.9,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Groundnut,252,265.4,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Horse-gram,4450,1308.3,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Maize,8,16.8,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
