District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Actual,Normal,% of Dev
Balasore,0,0,8.6,0,170.6,90.3,430,303,336.1,199.4,41.7,0,1579.7,1592,-0.8
Bhadrak,0.4,0,5.3,0.4,154.7,90.2,600.4,302.5,278.6,157.4,30.1,0,1620,1427.9,13.5
Bolangir,0,0,0.2,0,13.5,83.8,840,326.3,134.2,14.5,30.1,0,1442.6,1289.8,11.8
Sonepur,0,0,0,0,5.5,85.7,917.2,309.5,171.3,27.3,37,0,1553.5,1418.5,9.5
Cuttack,0,0.4,0,0,139,100.3,740.9,389.9,240.8,178.8,16.4,0,1806.5,1424.3,26.8
Jagatsinghpur,3.6,0,0,0,173.1,52,615.9,211,243.9,148.6,35.9,0,1484,1514.6,-2
Jajpur,0,0,0,0,150.9,65.9,608.4,290.7,305.7,124.5,5.8,0,1551.9,1559.9,-0.5
Kendrapara,8.9,0,1,2.6,184.2,39.6,589,175.7,362.6,170.8,34.7,0,1569.1,1556,0.8
Dhenkanal,52.3,0,5.9,0,107.4,90.1,661.4,226.1,126.9,189.3,12.3,0,1471.7,1428.8,3
Angul,0,0,2.8,0,48.7,53.8,636.7,271.9,104.8,121.7,26.8,0,1267.2,1401.9,-9.6
Ganjam,0,0,0,0,52.3,96.4,458.7,232.7,127.7,170.1,80,0,1217.9,1276.2,-4.6
Gajapati,0,0,17.7,13.8,43,131.3,372.8,271.5,166.2,79.4,53.9,0,1149.6,1403.3,-18.1
Kalahandi,1.2,0,0,0,0,69,912.7,357.9,101.3,48.7,13.6,0,1504.4,1330.5,13.1
Nuapada,0,0,0,0,33.2,87.6,697.1,319.2,74,65,26.3,0,1302.4,1286.4,1.2
Keonjhar,0.3,0,3.3,0,151.6,86.3,442.7,264.1,167.6,165.7,40,0,1321.6,1487.7,-11.2
Koraput,0,0,0.4,0.6,34.3,100,436.9,226.4,125.1,88.5,26.3,0,1038.5,1567.2,-33.7
Malkanagiri,0,0,0,0,3.6,84.4,490,308,166.9,48.3,0.1,0,1101.3,1667.6,-34
Nawarangpur,0,0,9,0,64,186.2,611.2,389.9,146.1,64.4,36,0,1506.8,1569.5,-4
Rayagada,0,0,7.9,1.4,49.4,137.9,559.8,335.4,94.4,96.3,45.6,0,1328.1,1285.9,3.3
Mayurbhanj,0,0,8.2,0,155.4,69.7,284.3,259.6,241.8,173.2,21.3,0,1213.5,1600.6,-24.2
Kandhamal,0,0,3.8,0,39.2,109.9,862.7,267.1,216.7,72,32.3,0,1603.7,1427.9,12.3
Boudh,0,0,0,0,0,51.2,641.1,352,155.3,26.9,22.6,0,1249.1,1623.1,-23
Puri,0,1,0,2.2,96.4,77.6,609.2,244.8,240,152.4,39.8,0,1463.4,1408.8,3.9
Khorda,0,0,0,4.3,52.4,74,567.8,291.2,206.5,137.8,62.4,0,1396.4,1408.4,-0.9
Nayagarh,0,0,5.4,1.7,50,109.7,758.9,213.3,169.2,153.7,29,0,1490.9,1354.3,10.1
Sambalpur,0,0,0,0,39.6,73.9,638.6,331.5,134.1,76.8,0,0,1294.5,1495.7,-13.5
Bargarh,0,0,0,0,0,13.7,736.8,210,144.1,34.5,0,0,1139.1,1367.3,-16.7
Deogarh,0,0,0,0,40.8,63,456.1,245.8,72.6,92.3,21.9,0,992.5,1582.5,-37.3
Jharsuguda,14.6,0,0,0,13.6,119,503.8,272.8,89.2,129.4,0,0,1142.4,1362.8,-16.2
Sundargarh,1.4,0,0,2,66,69.4,396.1,311.4,108.6,99.2,22.5,0,1076.6,1422.4,-24.3
State Average,2.8,0,2.6,1,71.1,85.4,602.6,283.7,175.1,110.2,28.1,0,1362.6,1451.2,-6.1
