District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Actual,Normal,% of Dev
Balasore,0,0,1.6,1.6,200.6,93.3,253.5,176.7,305.6,198.6,5.8,27.2,1264.5,1592,-20.6
Bhadrak,0,0,0,0,133.3,153.7,224.7,194.5,222.9,312.8,13.8,22.1,1277.8,1427.9,-10.5
Bolangir,9.1,0,0.5,1.4,44.7,69.3,370.7,252.7,269.1,52.3,17.8,26.9,1114.5,1289.8,-13.6
Sonepur,0,0,0,2.2,43,137,328.5,222,219.5,36,27.1,33.4,1048.7,1418.5,-26.1
Cuttack,3.2,0,4.3,0.1,152.5,221.9,278.5,300.5,170,207.1,33.5,18.9,1390.5,1424.3,-2.4
Jagatsinghpur,39.3,0,0,0,96.4,144.3,139.3,270.3,154.4,282.6,50.8,31.8,1209.2,1514.6,-20.2
Jajpur,0,0.3,26.4,3.2,151.7,195.9,161.1,21.7,198.4,224.8,24.1,34.8,1042.4,1559.9,-19.7
Kendrapara,0,0,4,0,92.3,96.5,225.6,182.1,201.4,380,34.6,33.9,1250.4,1556,-19.6
Dhenkanal,0,0,9.1,14.9,118.3,187.3,212.1,226.6,185.6,121.4,9.5,42.8,1127.6,1428.8,-21.1
Angul,1.8,0,25.5,0.8,98.6,87.4,222.9,233.4,162.4,74.2,8.1,35.5,950.6,1401.9,-32.2
Ganjam,59.9,0,0,0,121.5,169.1,134.8,350,198.9,233.3,136.2,73.1,1476.8,1276.2,15.7
Gajapati,32.7,1.2,3.1,20.6,130.9,132.9,262.2,277.4,221.2,262.8,78.7,82.7,1506.4,1403.3,7.3
Kalahandi,4.3,0,1.2,9.6,99.5,98.3,449,378.9,291.1,170.7,10,29.8,1542.4,1330.5,15.9
Nuapada,8.3,0,0,6.4,41.8,85.3,345.8,277.3,225.3,79.1,3.6,42.9,1115.8,1286.4,-13.3
Keonjhar,0,0,15.8,26.3,124,164.6,271.3,235.5,228.4,103,7.8,36.7,1213.4,1487.7,-18.4
Koraput,0,0,0,0,70,102.6,390.1,326.4,383.6,148.2,82.2,30.2,1533.3,1567.2,-2.2
Malkanagiri,0,0,0,2.5,44,201.9,672.1,413.9,330.3,59.4,70.8,25.2,1820.1,1667.6,9.1
Nawarangpur,7.7,6.2,14.2,49.1,131.8,87.1,518.9,616.6,453.4,233.2,49.1,39.1,2206.4,1569.5,40.6
Rayagada,31.9,0,3.2,24.8,97.7,144.6,392.5,313.8,216.2,179.5,43.3,44.5,1492,1285.9,16
Mayurbhanj,0,0.5,9.5,18,128.4,134.3,189,158.2,236.7,85.5,7.8,27.7,995.6,1600.6,-37.8
Kandhamal,22.4,0,13.3,10.7,127.2,138.1,354.8,294.4,340.6,143.3,46.4,42.1,1533.3,1427.9,7.4
Boudh,3,0,0,0,54.8,153.7,261.6,249.2,226.2,72.5,19.5,24.9,1065.4,1623.1,-34.4
Puri,0,2.6,0,0,141.8,124.8,162,358.4,253.1,283.4,123.5,63.5,1513.1,1408.8,7.4
Khorda,4.3,0.7,0,0.6,132,239.7,193.1,344.1,227.3,237.5,64,46.3,1489.6,1408.4,5.8
Nayagarh,16.4,6.3,7,3.6,133.5,268.4,222.7,314.2,231.5,174.6,46.7,53.4,1478.3,1354.3,9.2
Sambalpur,1.9,2.8,0,0,21.3,193.9,293.9,229.5,146.7,48.2,4.7,35.5,978.4,1495.7,-34.6
Bargarh,0,0,0,0,6,161.9,419.3,219.4,166.3,48.8,25.4,25.4,1072.5,1367.3,-21.6
Deogarh,2.4,1.7,4.1,0,72,147.4,254.5,288.2,120.1,35.2,0.5,22.9,949,1582.5,-40
Jharsuguda,7.8,0,0,0,1.2,214.6,269.2,336.4,101.7,20,1.6,26.5,979,1362.8,-28.2
Sundargarh,3.1,3.6,0.9,3.9,36.3,155.6,250.7,252,149.2,42.2,8.3,39.8,945.6,1422.4,-33.5
State Average,8.6,0.9,4.8,6.7,94.9,150.2,290.8,284.1,227.9,151.7,35.2,37.3,1293,1451.2,-10.9
