District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Balasore,0,0,24.8,27.2,111.8,240.1,369.8,523.8,429.3,24.8,22.2,0,1773.7
Bhadrak,0.6,0,2.4,9.5,119.9,197.7,277.4,450.3,267.5,21.3,4,0,1350.5
Bolangir,0,0,34,11,93.3,143.5,577.3,721.4,114.1,12.2,11.9,0,1718.7
Sonepur,0,0,53.5,24.3,52.3,134.5,418.8,1048.3,128.5,16,8.8,0,1885.1
Cuttack,2.1,0,22.2,11.5,169.1,238.4,438.8,685,329.1,26.4,4.8,0,1927.2
Jagatsinghpur,0,0,0,0,101.1,133.8,422.1,680.1,211,47.4,13.9,0,1609.3
Jajpur,0,0,24.7,25.6,129.5,247.4,307.4,504.1,379.4,19.4,15.1,0,1652.6
Kendrapara,0,0,5.6,2.6,84.1,157.1,329.3,567.9,246.3,24.3,9.2,0,1426.4
Dhenkanal,0,0,31,27.3,95.6,140,273.1,503.4,273.1,34,7.1,0,1384.6
Angul,0,0,23,19.9,88,160.3,290.4,566.8,170.2,22.1,3.4,0,1344.2
Ganjam,0,0,52.8,24.4,96.6,192.3,384,379.8,272.5,45.3,34.9,0,1482.4
Gajapati,0,0,31.4,73.1,137.1,216.3,412.5,447.1,312.9,59.5,16.4,0,1706.4
Kalahandi,0,0,35.2,16.8,78.6,154.8,816.6,819.8,305,9.6,7.9,0,2244.4
Nuapada,0,0,17.8,0,43.5,117,535.4,619,101.7,4.7,10.5,0,1449.5
Keonjhar,0,0,10.2,28.7,161.9,188.2,300.9,510.1,282.6,43,25.6,0,1551.3
Koraput,0,0,19,85,114,183.5,488.9,654.9,346.6,48.9,11.6,0,1952.6
Malkanagiri,0,0,8.4,56.4,33.3,78.9,436.3,856.9,353.3,21,72.9,0,1917.6
Nawarangpur,0,0,27.7,43.4,87.4,163.2,742.8,579,438.7,10.3,59.1,0,2151.5
Rayagada,0,0,77.7,50.9,114.8,264.4,535.1,555.8,342.6,10.9,25,0,1977.2
Mayurbhanj,0.4,0,18,10.3,181.4,261.7,400.6,565.8,335.9,23.8,23.4,0,1821.2
Kandhamal(Phl),0,0,36.1,15.2,113.7,249.8,634.9,1030,260,6.9,23.2,0,2369.9
Boudh,0,0,50.7,18,88.3,174.3,425.2,788.3,154,11,20.7,0,1730.5
Puri,2.1,0,13.2,5,87.3,154.3,498.2,826.5,241.8,51.2,53.1,0,1932.7
Khorda,0,0,19.3,8.9,105.1,188.8,432.3,582.9,279.9,45.7,22.3,0,1685.2
Nayagarh,0,0,28,16.3,144.1,162.8,391.6,438.7,179.8,18.5,0,0,1379.7
Sambalpur,0,0,51.2,12.9,82.3,132.5,449.5,839.6,164.5,43.5,14.7,0,1790.7
Bargarh,0,0,41.9,0,62.3,140.5,399.3,871.7,74,9.2,54.3,0,1653.2
Deogarh,0,0,25.6,4.4,96.7,122.9,261.5,466.4,134,14.7,16,0,1142.3
Jharsuguda,0,0,34.6,15.6,51.2,108,456.4,457.4,107.4,26.8,0.6,0,1258
Sundargarh,0,0,13.8,4.6,118,106.4,435.9,381,131.9,21.7,0.5,0,1213.9
State Average,0.2,0,27.8,21.6,101.4,171.8,438.1,630.7,245.6,25.8,19.8,0,1682.8
