District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Actual,Normal,% of Dev
Balasore,3.2,92.6,0,19.2,96.9,295.8,452,544,602.8,44.3,35.1,0,2185.9,1592,37.3
Bhadrak,0.2,32.7,23.2,11.7,63.1,214.7,240.8,304.8,466.7,67.6,9.4,0,1434.9,1427.9,0.5
Bolangir,0,18.1,1.4,6.9,11.2,323.7,278.1,380.7,338.8,30.8,0,0,1389.6,1289.8,7.7
Sonepur,0,16.3,0,1.5,14,445.2,206.5,274.7,333.5,22.5,0,0,1314.1,1418.5,-7.4
Cuttack,0,49.8,6.8,6.3,110.3,264.7,186.5,512.2,640.7,63.9,1,0,1842.2,1424.3,29.3
Jagatsinghpur,0,50.1,0,0,104.3,146.8,127.8,528,434.1,61.8,0,0,1452.8,1514.6,-4.1
Jajpur,0,36.8,0,9.3,89.1,294.7,229.3,442.1,578.2,44.1,0,0,1723.6,1559.9,10.5
Kendrapara,0,62.6,25.2,2.6,97.1,190.2,206.2,438.6,498,110.1,8.3,0,1638.8,1556,5.3
Dhenkanal,0,17.4,0,6.6,51.7,230,255.1,270.9,426.6,36.9,4.8,0,1300,1428.8,-9
Angul,0.2,10.4,9,37.1,59.8,225.8,240.3,225.3,390.7,31.6,7.1,0,1237.3,1401.9,-11.7
Ganjam,0,5.5,1.8,8,79.2,310.2,130.1,330.6,357.5,95.6,1.8,0,1320.5,1276.2,3.5
Gajapati,0,0.5,20.4,57.6,118.8,339.1,119.9,294.4,271.7,100.4,2.4,0,1325.1,1403.3,-5.6
Kalahandi,0,0,0,5,43.3,456.1,241.4,689.7,399.1,42.8,0,0,1877.3,1330.5,41.1
Nuapada,0,4.9,0.4,2.4,10.2,345,356.7,353.3,199.9,22.9,0,0,1295.7,1286.4,0.7
Keonjhar,1.8,81.8,15,40.2,87.7,270.2,444.3,469.4,419.4,19.5,58.4,0,1907.6,1487.7,28.2
Koraput,0,0,0,6.1,63,534.6,205.4,402.2,376.7,155.8,2.4,0,1746.3,1567.2,11.4
Malkanagiri,0,0,0,27.7,46,387.3,164.4,371,471,380.9,0,0,1848.4,1667.6,10.8
Nawarangpur,0,0.8,13,54.2,65.6,590.3,370.1,721.2,394.4,83.6,0.3,0,2293.6,1569.5,46.1
Rayagada,0,2.9,4.8,55.7,93.2,295,190,510.8,299.9,49.5,3.5,0,1505.3,1285.9,17.1
Mayurbhanj,4.5,65.9,24.6,53.1,100.9,231,541.3,470,471,24.8,50.5,0,2037.7,1600.6,27.3
Phulbani,0,12.9,21.9,19.7,89.7,465.9,181.6,484.1,511,32.3,0,0,1819,1427.9,27.4
Boudh,0,0,0,11.3,45,436.3,243.1,207.9,431.9,9,0,0,1384.6,1623.1,-14.7
Puri,0,58.5,0.8,0,49.5,228,99.2,418.4,390.8,86.5,8.3,0,1340.2,1408.8,-4.9
Khorda,0,42,11.6,20.3,81.5,255.9,133.5,304.2,475.8,84.6,2.1,0,1411.5,1408.4,0.2
Nayagarh,0,63.1,3.3,17.5,89.7,384.5,145.9,286.5,401.8,56.9,0.5,0,1449.6,1354.3,7
Sambalpur,1.7,68.1,1.2,13.2,22.5,288.1,378.7,432.3,474.4,38.9,13.9,0,1733,1495.7,15.9
Bargarh,0,19.2,0,0,6.3,368.8,260.3,245.5,309.4,32.2,0,0,1241.6,1367.3,-9.2
Deogarh,0.9,72.6,6.8,26.3,35.1,130.7,397.4,315.4,426.3,25,5.5,0,1442,1582.5,-8.9
Jharsuguda,0,118.2,0,0,64.4,250,435,336.2,433.6,24.8,21.8,0,1684,1362.8,23.6
Sundargarh,0.5,60.2,1.8,6,5.7,171.7,462.7,518,263.7,17.9,56,0,1564.2,1422.4,10
State Average,0.4,35.5,6.4,17.5,63.2,312.3,264.1,402.7,416.3,63.2,9.8,0,1591.5,1451.2,9.7
