Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,Balasore,62,71,67,65,67,79,80,81,82,68,69,63
2007,Chandabali,77,82,79,70,71,82,84,85,87,82,81,79
2007,Cuttack,86,87,85,77,79,84,86,88,91,84,79,78
2007,Paradeep,81,81,80,80,79,86,87,85,87,78,78,75
2007,Bhubaneswar,73,79,78,74,75,83,87,88,93,83,76,69
2007,Gopalpur,83,77,80,82,79,84,87,83,88,80,79,81
2007,Puri,75,74,77,81,78,84,85,81,85,76,73,72
2007,Angul,62,63,61,57,47,68,82,80,78,71,59,61
2007,Baripada,64,73,69,74,70,80,83,85,88,75,77,69
2007,Jharsuguda,65,68,55,48,53,67,87,87,86,74,74,73
2007,Keonjhar,67,75,70,64,69,76,84,87,91,75,76,70
2007,Sambalpur,78,81,67,59,57,73,87,88,87,86,84,84
2007,Sundargarh,67,65,56,52,54,70,88,90,88,77,75,79
2007,Hirakud,73,66,59,56,53,80,88,89,89,77,74,78
2007,Bhawanipatna,49,47,39,38,39,64,71,81,89,81,73,69
2007,Bolangir,57,54,41,40,47,66,83,82,85,74,61,66
2007,Koraput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,72
2007,Phulbani,84,82,73,56,66,75,85,88,89,86,80,83
2007,Titlagarh,NA,NA,NA,NA,NBA,NA,NA,NA,NA,NA,NA,NA
2007,Malkangiri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
