"","Year","Name.of.the.Station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2001,"Balsore",78,63,72,70,72,79,88,83,78,76,76,63
"2",2001,"Chandbali",91,80,86,75,75,86,93,89,83,77,90,90
"3",2001,"Cuttack",91,83,83,75,71,82,89,86,79,84,85,83
"4",2001,"Paradeep",88,86,82,83,79,83,90,87,81,82,89,78
"5",2001,"Bhubaneswar",89,81,80,71,71,83,94,91,85,84,85,73
"6",2001,"Gopalpur",91,82,80,86,76,85,88,86,84,85,88,78
"7",2001,"Puri",85,84,81,84,83,85,92,90,84,82,86,74
"8",2001,"Angul",89,50,70.1666666666667,67.3333333333333,57,75,90,87.0769230769231,82,65,85,55
"9",2001,"Baripada",91,80,70.1666666666667,67.3333333333333,82,76,92,85,83,89,90,78
"10",2001,"Jharsuguda",78,61,37,42,48,80,87,85,81,79,73,69
"11",2001,"Keonjhar",77,67,59,43,62,80,87,87,80,82,78,61
"12",2001,"Sambalpur",83,68,61,66,50,82,85,87,83,82,82,76
"13",2001,"Sundargarh",60,74.0769230769231,70.1666666666667,46,41,84,89.6153846153846,90,82,79.7857142857143,83.7142857142857,72.2142857142857
"14",2001,"Bhawanipatna",40,74.0769230769231,43,67.3333333333333,50,81.7142857142857,89.6153846153846,87.0769230769231,82,79.7857142857143,80,55
"15",2001,"Bolangir",81.2666666666667,74.0769230769231,70.1666666666667,67.3333333333333,42,81.7142857142857,89.6153846153846,87.0769230769231,82,79.7857142857143,83.7142857142857,72.2142857142857
"16",2001,"Koraput",81.2666666666667,74.0769230769231,70.1666666666667,67.3333333333333,65,81.7142857142857,89.6153846153846,87.0769230769231,82,79.7857142857143,83.7142857142857,72.2142857142857
"17",2001,"Phulbani",88,78,78,67,61,84,90,86,83,85,85,78
"18",2001,"Titlagarh",81.2666666666667,74.0769230769231,70.1666666666667,67.3333333333333,43,81.7142857142857,89.6153846153846,87.0769230769231,82,65,83.7142857142857,72.2142857142857
