"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2012,"Balasore",71.5,56,63,67.5,68.5,69,71.5,56,63,67.5,68.5,26
"2",2012,"Bhadrak",79,67.5,71,71.5,70,75.5,79,67.5,71,71.5,70,27
"3",2012,"Cuttack",74.2352941176471,63.8411764705882,57.3882352941176,58.4588235294118,58.59375,69.6470588235294,81.6333333333333,80.28125,78.925,75.51875,74.9875,58.53125
"4",2012,"Jagatsinghpur",76,73.5,80.5,80.5,84,82.5,76,73.5,80.5,80.5,84,27
"5",2012,"Khurda",71.5,56,67.5,69,69.5,76,71.5,56,67.5,69,69.5,29
"6",2012,"Ganjam",76,70,79,79,79.5,86,85,84,80,75,78.5,74
"7",2012,"Puri",71,70.5,78,78,79.5,80,82.5,82.5,78,73,77.5,68
"8",2012,"Angul",78.5,68,56.5,57,55.5,63,83.5,84,84.5,77.5,84,75
"9",2012,"Baripada",72.5,53,45,62.5,68.5,70.5,87.5,89,71.5,78,73,71.5
"10",2012,"Jharsuguda",66.5,46,26,36,35,54.5,83,85.5,79.5,69.5,68,58
"11",2012,"Keonjhar",72,53,37.5,47,47.5,61,83.5,86.5,85.5,77.5,72,62.5
"12",2012,"Sambalpur",74,69,47.8,49.8,44,61.3,87,89,85.3,79.8,75.3,72
"13",2012,"Sundargarh",81,69,48.5,47,41,60.5,87,90.5,84.5,78.5,77,70
"14",2012,"Kalahandi",66,61,49,45.5,40.5,60.5,84,83,83,77,77.5,73
"15",2012,"Bolangir",72.5,69.3,57.3,40.5,36.5,56.5,81,81,81,71.5,70,60.5
"16",2012,"Koraput",83,73,66,56.5,72.5,77.5,81.6333333333333,80.28125,78.925,75.51875,74.9875,58.53125
"17",2012,"Kandhamal",79,68,55.5,58,58.59375,89,81.6333333333333,89,87,84,81.5,76.5
"18",2012,"Malkangiri",74.2352941176471,63.8411764705882,57.3882352941176,58.4588235294118,58.59375,69.6470588235294,81.6333333333333,80.28125,78.925,75.51875,74.9875,58.53125
"19",2012,"Sonepur",72,62.5,47.5,48.5,45.5,60.7,82.5,87.5,81,78.5,73.5,66.5
