"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2008,"Balasore",66,68,72,69,69,78,82,81,81,68,62,73
"2",2008,"Chandabali",83,85,83,79,73,85,87,88,88,82,79,89
"3",2008,"Cuttack",86,86,83,77,73,84,88,89,88,85,77,89
"4",2008,"Paradeep",85,87,87,84,82,87,88,88,84,79,78,89
"5",2008,"Bhubaneswar",77,81,81,76,76,87,90,90,88,79,73,86
"6",2008,"Gopalpur",85,88,79,78,78,84,86,85,81,79,77,83
"7",2008,"Puri",76,81,81,80,79,84,85,85,81,78,74,82
"8",2008,"Angul",85,79,81,69,58,70,76,84,81,77,75,81
"9",2008,"Baripada",69,67,69,69,60.5555555555556,81,85.7222222222222,88,88,80,75,80
"10",2008,"Jharsuguda",72,67,57,48,47,80,87,87,83,75,72,73
"11",2008,"Keonjhar",74,72,66,62,61,85,86,90,88,79,74,82
"12",2008,"Sambalpur",87,75,70,59,51,82,90,88,85,80,80,86
"13",2008,"Sundargarh",81,67,55,51,46,80,90,85,84,77,74,76
"14",2008,"Hirakud",78,69,67,54,51,83,89,90,87,74,77,79
"15",2008,"Bhawanipatna",66,68,54,47,43,70,86,85,81,77,75,74
"16",2008,"Bolangir",68,67,55,49,44,74,80,83,80,76,72,78
"17",2008,"Koraput",73,70,75,68,66,89,91,87,88,88,87,79
"18",2008,"Phulbani",84,84,72,70,59,85,89,94,92,91,91,93
"19",2008,"Titlagarh",77.5,51,44,43,34,71,73,81,76,60,54,52
"20",2008,"Malkangiri",77.5,74.3157894736842,70.0526315789474,64.8421052631579,60.5555555555556,81,85.7222222222222,86.7368421052632,84.4210526315789,78.1052631578947,75.0526315789474,80.2105263157895
