"","Year","Name.of.the.Station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2002,"Balsore",70,75,69,67,58,73,74,81,83,69,68,63
"2",2002,"Chandbali",73.375,84,82,76,70,75.625,85,86.375,86,93,65.25,73.5
"3",2002,"Cuttack",78,87,79,73,66,73,76,85,88,84,7,81
"4",2002,"Paradeep",81,82,75,80,75,76,75,86,90,80,82,76
"5",2002,"Bhubaneswar",71,82,77,73,69,82,82,89,87,80,73,74
"6",2002,"Gopalpur",83,87,77,82,83,77,78,87,83,84,81,81
"7",2002,"Puri",77,83,79,86,76,82,80,87,86,81,77,76
"8",2002,"Angul",73.375,67,57,61,75,75.625,79.4,86.375,86,71,65.25,73.5
"9",2002,"Baripada",73.375,81,75,76,57.9375,75.625,79.4,86.375,86,93,65.25,73.5
"10",2002,"Jharsuguda",60,71,44,30,41,71,78,90,86,77,66,69
"11",2002,"Keonjhar",67,80,59,50,49,71,76,86,85,79,68,68
"12",2002,"Sambalpur",73.375,68,63,43,58,75.625,90,86.375,86,70,65.25,73.5
"13",2002,"Sundargarh",73.375,72,58,46,38,75.625,79.4,86.375,86,80.0625,65.25,73.5
"14",2002,"Bhawanipatna",73.375,37,42,29,26,75.625,79.4,86.375,86,64,65.25,73.5
"15",2002,"Bolangir",73.375,75,55,47,45,75.625,79.4,86.375,86,86,65.25,73.5
"16",2002,"Koraput",73.375,75.7647058823529,66.1764705882353,60.8235294117647,57.9375,75.625,79.4,86.375,86,85,65.25,73.5
"17",2002,"Phulbani",73.375,86,74,70,58,75.625,79.4,86.375,86,85,65.25,73.5
"18",2002,"Titlagarh",73.375,71,60,45,40,75.625,79.4,86.375,86,80.0625,65.25,73.5
