"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2009,"Balasore",73,66,64,59,71,72,82,82,78,68,63,63
"2",2009,"Chandabali",91,86,80,76,75,80,90,88,87,80,80,83
"3",2009,"Cuttack",92,88,78,78,79,74,90,90,90,85,83,88
"4",2009,"Paradeep",90,86,83,82,81,80,89,86,84,74,77,82
"5",2009,"Bhubaneswar",89,83,76,71,71,72,92,89,88,78,75,77
"6",2009,"Gopalpur",84,85,79,80,82,81,85,82,83,77,81,81
"7",2009,"Puri",84,80,79,83,81,80,87,84,81,72,77,76
"8",2009,"Angul",79,69,71,70,68,58,88,78,77,75,78,79
"9",2009,"Baripada",73,58,57,57,69,76,85,88,85,75,72,72
"10",2009,"Jharsuguda",67,49,42,35,52,52,87,85,79,69,69,70
"11",2009,"Keonjhar",70,60,49,38,63,63,86,86,86,70,73,70
"12",2009,"Sambalpur",84,70,57,42,51,53,88,84,82,81,83,85
"13",2009,"Sundargarh",72,60,51,38,48,58,91,86,83,83,80,83
"14",2009,"Hirakud",77,61,62,46,53,57,91,88,86,78,76,82
"15",2009,"Bhawanipatna",71,71,52,50,45,56,85,82,78,72,72,72
"16",2009,"Bolangir",69,61,51,46,52,53,77,78,76,71,66,68
"17",2009,"Koraput",74,76,75,66,75,84,90,88,89,88,89,76
"18",2009,"Phulbani",90,85,71,54,71,57,90,91,93,92,90,94
"19",2009,"Titlagarh",54,44,40,35,44,53,83,79,76,71,68,61
"20",2009,"Malkangiri",78.6,92,81,76,84,79,92,89,89,85,87,86
"21",2009,"Talcher(Angul)",89,89,90,53,54,52,75,69,75,77.2,75,75
