"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2007,"Balasore",62,71,67,65,7,79,80,81,82,68,69,63
"2",2007,"Chandabali",77,82,79,70,10,82,84,85,87,82,81,79
"3",2007,"Cuttack",86,87,85,77,13,84,86,88,91,84,79,78
"4",2007,"Paradeep",81,81,80,80,13,86,87,85,87,78,78,75
"5",2007,"Bhubaneswar",73,79,78,74,11,83,87,88,93,83,76,69
"6",2007,"Gopalpur",83,77,80,82,13,84,87,83,88,80,79,81
"7",2007,"Puri",75,74,77,81,12,84,85,81,85,76,73,72
"8",2007,"Angul",62,63,61,57,2,68,82,80,78,71,59,61
"9",2007,"Baripada",64,73,69,74,9,80,83,85,88,75,77,69
"10",2007,"Jharsuguda",65,68,55,48,3,67,87,87,86,74,74,73
"11",2007,"Keonjhar",67,75,70,64,8,76,84,87,91,75,76,70
"12",2007,"Sambalpur",78,81,67,59,5,73,87,88,87,86,84,84
"13",2007,"Sundargarh",67,65,56,52,4,70,88,90,88,77,75,79
"14",2007,"Hirakud",73,66,59,56,3,80,88,89,89,77,74,78
"15",2007,"Bhawanipatna",49,47,39,38,1,64,71,81,89,81,73,69
"16",2007,"Bolangir",57,54,41,40,2,66,83,82,85,74,61,66
"17",2007,"Koraput",70.7647058823529,72.0588235294118,66.8235294117647,63.1176470588235,NA,76.5294117647059,84.3529411764706,85.1764705882353,87.2352941176471,78.0588235294118,72,72
"18",2007,"Phulbani",84,82,73,56,6,75,85,88,89,86,80,83
"19",2007,"Titlagarh",70.7647058823529,72.0588235294118,66.8235294117647,63.1176470588235,14,76.5294117647059,84.3529411764706,85.1764705882353,87.2352941176471,78.0588235294118,74.4444444444444,73.3888888888889
"20",2007,"Malkangiri",70.7647058823529,72.0588235294118,66.8235294117647,63.1176470588235,NA,76.5294117647059,84.3529411764706,85.1764705882353,87.2352941176471,78.0588235294118,74.4444444444444,73.3888888888889
