Year,Name of the Stations ,Jan,Feb,Mar,Apr,May ,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,Balsore,71,63,66,67,66,71,81,83,77,70,58,64
2004,Chandbali,86,82,75,76,71,76,84,86,82,82,79,82
2004,Cuttack,85,79,78,77,71,72,84,86,82,82,74,78
2004,Paradeep,83,78,82,83,79,81,85,89,82,80,72,78
2004,Bhubaneswar,82,74,72,73,71,70,87,89,83,82,70,74
2004,Gopalpur,86,77,81,83,79,78,82,82,78,82,77,81
2004,Puri,80,78,83,85,82,81,86,86,80,81,72,77
2004,Angul,76,60,72,65,61,65,82,82,71,70,58,55
2004,Baripada,87,83,78,NA,NA,NA,NA,NA,NA,NA,77,77
2004,Jharsuguda,77,62,48,52,52,70,85,89,81,75,65,72
2004,Keonjhar,76,58,43,48,50,71,83,85,83,79,66,74
2004,Sambalpur,84,70,62,56,56,66,84,88,82,83,82,83
2004,Sundargarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,Bhawanipatna,45,46,43,35,NA,NA,NA,NA,NA,50,39,NA
2004,Bolangir,75,45,48,42,54,56,70,61,77,74,59,62
2004,Koraput,62,55,44,55,61,76,83,NA,76,66,54,52
2004,Phulbani,95,87,70,63,67,76,87,88,86,88,81,83
2004,Titlagarh,74,61,51,57,62,66,85,NA,79,NA,NA,NA
