"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2006,"Balasore",62,59,60,67,65,76,81,83,81,69,69,63
"2",2006,"Chandabali",78,82,73,72,72,79,84,88,84,80,80,76
"3",2006,"Cuttack",78,79,81,76,76,82,84,90,88,83,84,82
"4",2006,"Paradeep",81,88,77,79,79,85,87,91,88,81,79,75
"5",2006,"Bhubaneswar",72,69,72,73,74,85,85,90,87,81,78,70
"6",2006,"Gopalpur",78,69,74,81,78,85,83,85,83,81,85,83
"7",2006,"Puri",74,78,80,84,78,85,85,86,83,77,79,71
"8",2006,"Angul",63,47,53,59,71,48,67,75,69,65,58,53
"9",2006,"Baripada",71,56,58,69,71,82,86,90,87,76,77,71
"10",2006,"Jharsuguda",69,57,62,54,62,68,85,88,82,75,73,69
"11",2006,"Keonjhar",66,53,56,58,70,76,84,88,88,77,79,69
"12",2006,"Sambalpur",85,81,70,60,65,73,86,89,87,85,87,83
"13",2006,"Sundargarh",65,62,48,43,54,71,83.4666666666667,89,81,72,75,70
"14",2006,"JHirakud",71.1875,64.0555555555556,64.1176470588235,65.0588235294118,65,68,87,89,81,77,80,69
"15",2006,"Bhawanipatna",52,50,52,65.0588235294118,69.3333333333333,74.4705882352941,83.4666666666667,87.125,83.375,77.125,77.6875,71.9375
"16",2006,"Bolangir",60,49,57,50,55,70,83,85,76,70,73,61
"17",2006,"Koraput",71.1875,64.0555555555556,64.1176470588235,65.0588235294118,69.3333333333333,74.4705882352941,83.4666666666667,87.125,83.375,77.125,77.6875,71.9375
"18",2006,"Phulbani",85,76,69,64,68,78,85,88,89,85,87,86
"19",2006,"Titlagarh",71.1875,52,48,73,75,55,83.4666666666667,87.125,83.375,77.125,77.6875,71.9375
"20",2006,"Malkangiri",71.1875,46,64.1176470588235,44,70,74.4705882352941,83.4666666666667,87.125,83.375,77.125,77.6875,71.9375
