Name of the Stations,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Balasore,27,15,32,18,34,22,36,25,36,25,35,27,32,25,33,25,32,25,31,23,30,17,27,13
Chandabali,28,15,33,19,36,22,38,25,40,26,38,26,33,25,33,25,33,25,30,23,29,16,NA,NA
Cuttack,29,14,33,17,35,22,37,24,38,26,38,24,32,22,33,26,32,26,31,25,30,16,28,13
Paradeep,28,18,30,21,31,25,33,27,33,28,33,29,30,27,31,27,33,26,31,25,31,20,29,17
Bhubaneswar,29,17,34,19,35,24,37,26,38,27,38,28,32,26,33,26,32,25,31,24,30,17,28,15
Gopalpur,28,18,30,21,30,24,32,26,32,27,33,28,31,26,32,27,32,26,32,25,30,19,28,16
Puri,28,18,30,21,30,24,32,26,33,27,33,27,31,25,32,27,32,27,32,25,30,20,28,17
Angul,29,11,33,14,37,18,39,22,41,27,40,28,33,25,33,24,NA,NA,NA,NA,NA,NA,NA,NA
Baripada,23,14,28,18,35,20,NA,NA,36,24,38,26,32,25,34,26,31,26,28,23,27,16,26,14
Jharsuguda,27,13,32,17,37,22,40,24,42,27,40,28,31,25,31,25,32,25,31,23,30,14,27,12
Keonjhar,26,12,31,15,34,19,37,21,38,22,37,25,30,23,29,23,30,22,28,20,28,14,25,11
Sambalpur,27,13,32,16,35,19,38,22,41,25,39,26,29,23,31,23,32,23,32,21,30,13,27,10
Sundargarh,27,12,33,15,38,19,41,21,43,25,42,27,32,23,NA,NA,34,23,32,20,31,12,29,9
Bhawanipatna,28,11,32,13,37,20,39,25,41,26,38,26,31,22,29,22,31,22,30,22,29,13,28,8
Bolangir,NA,NA,32,NA,38,NA,39,NA,43,19,40,19,32,19,30,19,32,22,31,23,30,15,28,13
Koraput,26,12,30,15,33,18,36,20,35,21,36,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phulbani,27,11,32,13,36,18,37,21,40,23,37,25,30,23,27,22,30,22,29,21,28,12,25,9
Titlagarh,30,10,34,13,38,17,42,20,44,21,44,21,33,20,27,17,29,18,33,22,29,19,22,10
