"","Name.of.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balasore",27.1,12.7,30.8,16.4,33.7,21.2,33.8,23.1,34.9,25,33.1,25.5,32.2,25.5,31.2,25.2,31.6,25,32.9,23,31.4,17.8,28.2,14.1
"2","Chandabali",26.9,12.6,31.1,16,35.2,20.1,36.2,22.2,37.5,24.1,34.1,24.5,33.2,24.7,32.5,24.4,31.7,24.2,33,23.1,30.9,19.6,27.3,16.3
"3","Cuttack",29.2,14.5,32.1,18.8,35.6,22.9,35.4611111111111,22.3,37.8888888888889,25.1888888888889,34.4235294117647,25.0764705882353,32.4470588235294,24.8,31.4470588235294,22.8529411764706,31.06875,23.65,33,21.325,31.15625,11.7421052631579,28.225,13.45
"4","Paradeep",25.8,15.9,28.3,19.2,30.5,23.2,31.4,25.6,32.5,27.5,32.2,26.7,31.8,26.9,31.3,26.9,31.5,26.3,32.6,24.9,30.8,20.2,27.6,17.1
"5","Bhubaneswar",29,14.8,32.3,18.5,36.1,22.5,36.8,24.2,37.6,26.7,34.7,26.3,32.6,25.7,32.1,25.6,31.5,24.8,33.5,23.2,32.3,19,29.1,16.6
"6","Gopalpur",27.7,16.1,30.1,19.4,31.5,23.2,32,24.9,32.6,26.8,33,27.7,31.8,26.5,31,26.2,32.4,26.1,33.3,24.3,31.4,19.6,27.9,17.1
"7","Puri",26.8,16,29.1,20,31,24.6,32.2,26,33,27.4,33.4,27.3,32.4,27,32,26.7,32.3,26.4,33.2,25.1,31.1,21.1,28.3,17.7
"8","Angul",25.5,11.3,30.8,15.4,37,20.1,37.3,21.2,39.6,23.5,34.8,23.5,33,23.5,31.8,22,30.8,22.2,33.5,20.7,32,16.2,29.3,13.5
"9","Baripada",25.7,9.3,30.5,13.4,35.8,19,35.1,20.8,36.2,22.7,33.5,22.9,32.6,23.3,31.2,22.9,31.3,22.4,32.6,19.9,29.7,14.3,26.2,10.5
"10","Jharsuguda",28.3,10.5,31.9,14.8,37.4,20.2,37.3,23.1,41.1,27.2,35.4,25.9,32.3,25,31.4,24.9,31,24.2,33.6,20.7,31.7,15.5,29.1,14.9
"11","Keonjhar",27,10,29.4,14.2,34.7,18.6,34,20.2,36.8,22.8,32.4,22.9,30.9,22.5,29.9,22.2,29,21.6,31,19.3,28.9,14.5,26.4,11.2
"12","Sambalpur",27.7,9.2,31.1,13.6,36.8,17.8,37.5,20.3,41.5,24.1,36.9,23.6,33.4,29,32.1,21.9,31,22.6,33.5,19.9,30.8,14.4,27.9,11
"13","Sundargarh",26.4,9.2,31,13.5,36.6,18.7,36.6,21.9,39.9,25.2,34.5,25.1,31.6,23.6,30.8,2.5,31.06875,23.65,33,21.325,31.15625,11.7421052631579,28.225,13.45
"14","Hirakud",28.4,11.7,31.5,54,36.7,19.7,37.1,22,41.3,26.1,36.4,25.3,33,24.1,31.8,24.1,31,23.3,33.6,20.8,31.8,16.3,29,13.2
"15","Bhawanipatna",28.9,11.1,31.9,15,37.1,20.5,37.6,23.3,40.7,26.7,36.1,26.4,33.2,24.7,31.9,24.4,31.1,23.6,33.4,20,32,14.1,30.1,12
"16","Bolangir",27.3,9.7,30.3,13.3,38.1,18.5,37.2,21.4,41.3,26.9,35.9,25.5,32.8,24,31.8,23.4,30.9,22.5,33.9,19.5,32.7,14.7,30.3,11.2
"17","Koraput",26.7,11.4,28.8,13.8,32.9,18,33.3,19.5,34.3,21.3,34.4235294117647,25.0764705882353,32.4470588235294,24.8,31.4470588235294,22.8529411764706,31.06875,23.65,33,21.325,31.15625,11.7421052631579,28.225,13.45
"18","Phulbani",27.2,6.9,29.9,10.7,35.1,15.9,34.8,19.8,39.2,24,32.9,23.4,31.4,22.9,29.8,22.8,29.1,21.7,31.4,17.9,29.6,11.8,27.3,8.4
"19","Titlagarh",28.8,10.2,31.9,14.8,37.6,21,38.1,21.9,42,25.4,35.9,23.8,33.4,22.7,32,22.4,30.9,21.5,33,18.9,31.4,14,27.6,10.4
"20","Malkangiri",27.3894736842105,11.7421052631579,30.6736842105263,17.6210526315789,35.2315789473684,20.3,35.4611111111111,22.3,37.8888888888889,25.1888888888889,34.4235294117647,25.0764705882353,32.4470588235294,24.8,31.4470588235294,22.8529411764706,31.06875,23.65,33,21.325,31.15625,11.7421052631579,28.225,13.45
"21","Talcher",27.3894736842105,11.7421052631579,30.6736842105263,17.6210526315789,35.2315789473684,20.3,35.4611111111111,22.3,37.8888888888889,25.1888888888889,34.4235294117647,25.0764705882353,32.4470588235294,24.8,31.4470588235294,22.8529411764706,31.06875,23.65,33,21.325,31.15625,11.7421052631579,28.225,13.45
