Name of the Station ,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Balsore,26,14,30,16,34,22,36,24,37,26,34,26,32,25,32,25,32,25,31,22,33,17,28,15
Chandbali,26,14,31,17,36,22,37,25,39,27,36,27,33,25,32,26,34,25,32,23,31,17,28,15
Cuttack,28,14,31,15,37,21,36,23,38,25,36,25,33,24,32,26,33,23,32,21,31,17,29,14
Paradeep,26,16,29,20,31,24,31,26,33,28,33,28,31,27,31,26,32,26,32,24,31,20,29,18
Bhubaneswar,28,15,32,17,37,23,36,25,39,27,37,27,32,25,31,26,33,25,31,23,32,18,30,16
Gopalpur,27,16,30,18,31,22,30,24,33,27,33,27,32,26,32,26,33,26,31,23,31,19,29,17
Puri,25,17,29,21,30,25,31,25,33,29,33,28,32,26,31,29,33,26,31,24,30,20,28,17
Angul,28,10,31,12,37,18,39,21,40,23,36,23,33,21,31,22,33,21,31,18,30,13,29,11
Baripada,25,14,29,15,37,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,16,26,14
Jharsuguda,27,13,30,14,37,20,39,25,41,29,35,26,32,24,30,25,33,25,31,20,30,15,28,13
Keonjhar,26,11,29,13,35,19,37,24,38,25,33,24,31,23,29,23,30,22,29,19,28,13,27,11
Sambalpur,27,11,30,14,36,18,38,24,40,27,36,25,29,24,30,23,33,24,32,20,30,14,28,11
Sundargarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhawanipatna,27,11,30,12,37,18,38,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,30,14,NA,NA
Bolangir,28,NA,33,17,37,19,41,25,41,22,36,19,32,16,31,16,33,23,31,NA,30,NA,28,NA
Koraput,25,11,26,12,34,19,34,21,37,23,30,21,28,21,NA,NA,29,21,28,18,27,14,27,11
Phulbani,26,11,29,11,35,16,38,22,38,25,33,24,30,23,28,23,30,22,29,20,28,15,27,9
Titlagarh ,29,12,32,12,39,18,41,21,41,24,36,22,33,19,NA,NA,34,19,NA,NA,NA,NA,NA,NA
