"","Name.of.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balasore",26,15,31,16,34,22,35,24,36,26,36,27,26,15,31,16,34,22,35,24,36,26,36,27
"2","Bhadrak",27,17,31,18,35,23,38,26,39,28,37,27,27,17,31,18,35,23,38,26,39,28,37,27
"3","Cuttack",27.03125,14.71875,31.625,16,35.75,20.0625,37.59375,24.21875,39.7,26.4333333333333,36.0625,26.34375,29.9,22.3333333333333,30.875,22.34375,30.125,23.90625,32.53125,21.625,30.71875,14.71875,29.96875,16.65625
"4","Jagatsinghpur",27,18,29,19,31,25,32,26,33,28,32,28,27,18,29,19,31,25,32,26,33,28,32,28
"5","Khurda",29,17,34,18,38,23,38,26,40,27,38,26,29,17,34,18,38,23,38,26,40,27,38,26
"6","Ganjam",28,19,30,20,32,24,32,26,33,27,33,28,30,26,31,26,33,26,32,24,30,21,29,18
"7","Puri",27,19,30,20,32,26,33,27,34,28,33,28,32,27,32,27,33,27,32,24,30,21,29,18
"8","Angul",28,15,33,17,37,20,40,25,40,27,38,27,32,25,32,25,32,25,32,22,29,18,29,14
"9","Baripada",25,12,31,13,37,18,38,21,43,23,38,24,32,22,32,22,32,21,31,20,27,18,25,11
"10","Jharsuguda",27,13,32,15,37,18,40,25,43,27,38,28,31,25,31,25,32,32,32,21,29,17,28,13
"11","Keonjhar",25,12,30,14,35,18,38,22,40,25,36,26,30,24,30,23,31,21,30,16,27,13,27,11
"12","Sambalpur",26,13,31,14.5,36.5,17.5,39.5,23.5,43.5,26.5,38,26.5,30.5,24,31,23.5,33,23.5,32.5,20,29.5,16.5,28.5,12.5
"13","Sundargarh",25,12,31,13,37,17,39,23,43,25,38,25,31,23,30,23,31,23,31,19,27,14,27,10
"14","Kalahandi",29,14,34,15,38,19,40,25,42,27,38,26,30,24,30,23,31,23,32,19,30,17,30,12
"15","Bolangir",28.5,12.5,34,14.5,38.5,16.5,41,22,43,24,38,25,30,23,30,22,3,22,32,19,29,18,28,15
"16","Koraput",27.03125,14.71875,31.625,16,35.75,20.0625,37.59375,24.21875,39.7,26.4333333333333,36.0625,26.34375,29.9,22.3333333333333,30.875,22.34375,30.125,23.90625,32.53125,21.625,30.71875,14.71875,29.96875,16.65625
"17","Kandhamal",27,12,32,12,36,14,38,20,39.7,26.4333333333333,29,21,29.9,22.3333333333333,29,21,21,20,30,17,28,13,28,8
"18","Malkangiri",27.03125,14.71875,31.625,16,35.75,20.0625,37.59375,24.21875,39.7,26.4333333333333,36.0625,26.34375,29.9,22.3333333333333,30.875,22.34375,30.125,23.90625,32.53125,21.625,30.71875,14.71875,29.96875,16.65625
"19","Sonepur",28,15,33,17,38,20,40,26,43,28,37,29,31,25,31,26,32,26,31,23,28,19,28,16
