Name of the Stations,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Balasore,26,15,31,16,34,22,35,24,36,26,36,27,26,15,31,16,34,22,35,24,36,26,36,27
Bhadrak,27,17,31,18,35,23,38,26,39,28,37,27,27,17,31,18,35,23,38,26,39,28,37,27
Cuttack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jagatsinghpur,27,18,29,19,31,25,32,26,33,28,32,28,27,18,29,19,31,25,32,26,33,28,32,28
Khurda,29,17,34,18,38,23,38,26,40,27,38,26,29,17,34,18,38,23,38,26,40,27,38,26
Ganjam,28,19,30,20,32,24,32,26,33,27,33,28,30,26,31,26,33,26,32,24,30,21,29,18
Puri,27,19,30,20,32,26,33,27,34,28,33,28,32,27,32,27,33,27,32,24,30,21,29,18
Angul,28,15,33,17,37,20,40,25,40,27,38,27,32,25,32,25,32,25,32,22,29,18,29,14
Baripada,25,12,31,13,37,18,38,21,43,23,38,24,32,22,32,22,32,21,31,20,27,18,25,11
Jharsuguda,27,13,32,15,37,18,40,25,43,27,38,28,31,25,31,25,32,32,32,21,29,17,28,13
Keonjhar,25,12,30,14,35,18,38,22,40,25,36,26,30,24,30,23,31,21,30,16,27,13,27,11
Sambalpur,26,13,31,14.5,36.5,17.5,39.5,23.5,43.5,26.5,38,26.5,30.5,24,31,23.5,33,23.5,32.5,20,29.5,16.5,28.5,12.5
Sundargarh,25,12,31,13,37,17,39,23,43,25,38,25,31,23,30,23,31,23,31,19,27,14,27,10
Kalahandi,29,14,34,15,38,19,40,25,42,27,38,26,30,24,30,23,31,23,32,19,30,17,30,12
Bolangir,28.5,12.5,34,14.5,38.5,16.5,41,22,43,24,38,25,30,23,30,22,3,22,32,19,29,18,28,15
Koraput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandhamal,27,12,32,12,36,14,38,20,,,29,21,,,29,21,21,20,30,17,28,13,28,8
Malkangiri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sonepur,28,15,33,17,38,20,40,26,43,28,37,29,31,25,31,26,32,26,31,23,28,19,28,16
