Name of the Stations,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Balasore,27,12,31,18,35,24,39,26,36,26,35,27,33,26,33,26,33,25,32,24,32,21,27,14
Chandabali,27,14,32,19,38,25,41,27,38,26,37,26,34,25,34,25,33,25,32,23,31,20,26,13
Cuttack,29,14,33,19,37,25,39,27,37,27,37,27,33,26,33,26,33,26,32,25,32,22,28,15
Paradeep,26,16,29,20,31,26,31,27,33,27,33,28,32,27,32,28,32,27,32,26,31,23,26,16
Bhubaneswar,29,15,34,19,38,25,40,27,37,27,36,27,33,26,34,26,33,26,32,24,31,22,27,15
Gopalpur,28,17,31,20,32,24,30,25,33,27,32,27,32,27,32,27,33,27,31,25,31,22,27,17
Puri,27,17,30,22,32,27,31,27,33,28,33,28,32,28,33,28,33,27,32,26,31,23,27,16
Angul,27,11,33,15,39,21,43,25,40,25,38,23,34,22,32,22,32,22,32,21,31,20,26,14
Baripada,25,9,31,15,38,21,42,25,37,24,35,26,32,24,33,24,32,23,31,21,30,18,25,11
Jharsuguda,28,11,32,15,39,21,44,26,41,26,39,28,32,25,32,25,33,25,33,22,32,20,27,12
Keonjhar,26,11,31,15,36,20,40,25,37,24,35,24,31,23,31,23,30,23,30,20,29,18,25,11
Sambalpur,27,11,31,16,38,22,44,26,41,26,40,27,33,24,34,24,34,24,33,21,31,18,26,11
Sundargarh,26,10,31,15,38,20,43,25,41,27,39,25,32,24,31,24,32,24,32,21,30,18,25,11
Hirakud,26,13,NA,16,NA,22,44,26,41,27,39,27,33,25,33,25,33,25,33,23,31,20,28,13
Bhawanipatna,28,11,33,16,39,22,43,25,41,26,39,27,32,25,33,25,31,24,31,21,31,19,27,12
Bolangir,28,10,32,13,39,18,43,25,41,24,39,23,32,21,32,22,32,22,31,20,30,18,26,12
Koraput,26,12,30,14,34,20,37,23,35,22,32,21,27,21,28,21,28,21,28,19,27,15,25,12
Phulbani,26,9,31,12,37,17,41,22,38,24,35,24,30,22,30,22,30,21,29,20,29,17,25,9
Titlagarh,29,13,30,16,38,23,44,26,41,26,39,26,32,23,33,23,32,23,32,23,31,19,26,12
Malkangiri,31,14,35,18,38,26,40,27,39,29,38,37,30,22,32,24,32,24,33,23,31,22,29,16
Talcher,28,15,33,17,39,24,44,26,41,24,41,22,34,19,34,23,33,23,33,22,31,20,27,15
