"","Name.of.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balasore",28,14,27,16,33,22,35,24,36,25,33,25,32,25,32,26,32,25,32,23,31,18,28,16
"2","Chandabali",27,15,29,17,36,23,38,25,39,25,34,26,33,27,33,27,32,26,32,24,29,19,29,18
"3","Cuttack",29,16,29,18,35,24,37,25,38,27,33,26,33,26,32,26,32,25,34,24,30,20,29,18
"4","Paradeep",27,17,27,19,31,24,32,26,33,27,31,26,31,26,31,27,32,26,31,25,29,20,28,19
"5","Bhubaneswar",30,16,29,18,35,23,37,25,38,26,33,26,33,26,32,26,32,25,33,27,30,19,31,18
"6","Gopalpur",28,17,28,20,31,23,32,25,33,28,31,26,31,26,31,26,32,26,32,24,30,20,30,19
"7","Puri",27,17,27,20,31,25,32,27,34,28,31,27,32,27,31,27,32,27,32,25,29,21,28,19
"8","Angul",29,13,29,16,35,20,39,23,41,26,33,25,32,25,32,25,31,24,33,21,30,17,28,15
"9","Baripada",27,12,27,14,35,20,34,20,39.3157894736842,25.5263157894737,32.6842105263158,24.7647058823529,31.3684210526316,24.9411764705882,32,26,32,25,32,22,29,18,27,15
"10","Jharsuguda",29,13,28,13,36,20,40,24,42,27,34,25,32,25,31,25,32,24,33,21,31,17,29,13
"11","Keonjhar",27,12,27,13,34,19,37,22,39,24,31,24,30,24,30,24,30,23,31,20,29,17,28,14
"12","Sambalpur",28,13,28,14,34,20,38,23,41,26,33,25,31,25,32,25,33,25,33,22,29,18,28,14
"13","Sundargarh",28,12,29,12,37,18,40,22,43,26,34,24,31,24,32,24,33,23,34,19,31,15,29,12
"14","Hirakud",29,13,28,14,34,20,38,24,42,28,34,25,32,25,31,25,32,25,33,22,31,18,29,15
"15","Bhawanipatna",29,12,30,13,36,19,39,24,43,27,35,24,31,24,31,22,32,22,31,20,31,15,29,13
"16","Bolangir",30,12,31,14,36,19,40,23,43,26,36,23,33,25,33,24,33,23,32,21,31,16,28,12
"17","Koraput",29,12,29,15,32,21,34,23,37,23,29,21,28,21,27,21,28,21,30,18,29,14,28,13
"18","Phulbani",28,10,28,12,34,16,37,20,40,24,30,23,29,23,29,22,28,22,30,19,28,14,27,11
"19","Titlagarh",30,13,30,14,35,18,39,18,44,16,34,24.7647058823529,32,24.9411764705882,31,24.8888888888889,32,24.2777777777778,34,22.0555555555556,32,13.75,29,15.2222222222222
"20","Malkangiri",32,16,31,17,32,20,36,25,41,26,32,24.7647058823529,30,24.9411764705882,30,24.8888888888889,32,24.2777777777778,33,22.0555555555556,33,13.75,31,15.2222222222222
